Time (s),CH1_Voltage (V),CH2_Voltage (V)
-0.010450000000000001,0.08,0.114
-0.010440000000000001,0.08,0.114
-0.01043,0.08,0.116
-0.01042,0.08,0.114
-0.01041,0.08,0.114
-0.0104,0.08,0.114
-0.01039,0.08,0.112
-0.01038,0.08,0.114
-0.01037,0.16,0.114
-0.010360000000000001,0.08,0.112
-0.010350000000000002,0.16,0.114
-0.01034,0.16,0.114
-0.01033,0.16,0.114
-0.010320000000000001,0.08,0.114
-0.01031,0.16,0.116
-0.0103,0.08,0.114
-0.01029,0.08,0.114
-0.010280000000000001,0.08,0.114
-0.010270000000000001,0.16,0.114
-0.01026,0.16,0.114
-0.01025,0.16,0.114
-0.01024,0.08,0.114
-0.01023,0.08,0.114
-0.01022,0.08,0.114
-0.01021,0.08,0.114
-0.0102,0.16,0.114
-0.010190000000000001,0.08,0.114
-0.010180000000000002,0.16,0.114
-0.01017,0.08,0.116
-0.01016,0.16,0.114
-0.010150000000000001,0.08,0.116
-0.01014,0.08,0.114
-0.01013,0.16,0.114
-0.01012,0.08,0.114
-0.010110000000000001,0.16,0.114
-0.010100000000000001,0.08,0.114
-0.01009,0.08,0.114
-0.01008,0.08,0.114
-0.01007,0.16,0.114
-0.01006,0.16,0.116
-0.01005,0.16,0.114
-0.01004,0.08,0.114
-0.01003,0.08,0.114
-0.010020000000000001,0.16,0.114
-0.010010000000000002,0.08,0.112
-0.01,0.16,0.114
-0.00999,0.16,0.114
-0.009980000000000001,0.16,0.114
-0.00997,0.16,0.112
-0.00996,0.08,0.114
-0.00995,0.08,0.114
-0.009940000000000001,0.08,0.114
-0.009930000000000001,0.16,0.114
-0.00992,0.08,0.114
-0.00991,0.08,0.114
-0.0099,0.08,0.114
-0.00989,0.16,0.114
-0.00988,0.16,0.114
-0.00987,0.08,0.114
-0.00986,0.16,0.116
-0.009850000000000001,0.08,0.114
-0.009840000000000002,0.08,0.116
-0.00983,0.08,0.116
-0.00982,0.16,0.116
-0.009810000000000001,0.08,0.116
-0.0098,0.08,0.114
-0.00979,0.16,0.114
-0.00978,0.16,0.116
-0.009770000000000001,0.16,0.114
-0.009760000000000001,0.08,0.116
-0.00975,0.16,0.114
-0.00974,0.16,0.114
-0.00973,0.16,0.114
-0.00972,0.16,0.114
-0.00971,0.08,0.114
-0.0097,0.16,0.114
-0.00969,0.16,0.114
-0.009680000000000001,0.08,0.114
-0.009670000000000002,0.16,0.114
-0.00966,0.16,0.11
-0.00965,0.16,0.114
-0.009640000000000001,0.08,0.112
-0.00963,0.16,0.114
-0.00962,0.08,0.114
-0.00961,0.08,0.112
-0.009600000000000001,0.08,0.114
-0.009590000000000001,0.16,0.114
-0.00958,0.16,0.114
-0.00957,0.08,0.114
-0.00956,0.08,0.114
-0.00955,0.16,0.114
-0.00954,0.08,0.114
-0.00953,0.16,0.114
-0.00952,0.08,0.114
-0.009510000000000001,0.08,0.114
-0.009500000000000001,0.16,0.114
-0.00949,0.08,0.114
-0.00948,0.08,0.114
-0.009470000000000001,0.08,0.114
-0.00946,0.16,0.114
-0.00945,0.08,0.116
-0.00944,0.08,0.114
-0.009430000000000001,0.16,0.114
-0.009420000000000001,0.08,0.114
-0.00941,0.16,0.114
-0.0094,0.08,0.114
-0.00939,0.16,0.114
-0.00938,0.16,0.112
-0.00937,0.08,0.112
-0.00936,0.08,0.112
-0.00935,0.08,0.112
-0.009340000000000001,0.16,0.112
-0.009330000000000001,0.08,0.112
-0.00932,0.08,0.112
-0.00931,0.08,0.112
-0.009300000000000001,0.08,0.11
-0.00929,0.08,0.11
-0.00928,0.08,0.112
-0.00927,0.08,0.112
-0.009260000000000001,0.08,0.11
-0.009250000000000001,0.08,0.11
-0.00924,0.16,0.112
-0.00923,0.16,0.112
-0.00922,0.08,0.11
-0.00921,0.08,0.11
-0.0092,0.08,0.11
-0.00919,0.16,0.108
-0.00918,0.08,0.11
-0.009170000000000001,0.16,0.112
-0.009160000000000001,0.16,0.11
-0.00915,0.08,0.11
-0.00914,0.08,0.112
-0.009130000000000001,0.08,0.11
-0.00912,0.16,0.11
-0.00911,0.16,0.11
-0.0091,0.08,0.11
-0.00909,0.08,0.108
-0.009080000000000001,0.16,0.11
-0.00907,0.08,0.108
-0.00906,0.08,0.108
-0.00905,0.08,0.108
-0.00904,0.16,0.108
-0.00903,0.16,0.106
-0.00902,0.08,0.108
-0.00901,0.16,0.106
-0.009000000000000001,0.16,0.106
-0.008990000000000001,0.16,0.106
-0.00898,0.08,0.10400000000000001
-0.00897,0.16,0.10400000000000001
-0.008960000000000001,0.08,0.106
-0.00895,0.08,0.10400000000000001
-0.00894,0.16,0.10400000000000001
-0.00893,0.16,0.10400000000000001
-0.00892,0.08,0.10200000000000001
-0.008910000000000001,0.08,0.10200000000000001
-0.0089,0.16,0.10200000000000001
-0.00889,0.08,0.10200000000000001
-0.00888,0.08,0.10200000000000001
-0.00887,0.16,0.1
-0.00886,0.08,0.1
-0.00885,0.08,0.1
-0.00884,0.08,0.1
-0.008830000000000001,0.08,0.1
-0.008820000000000001,0.16,0.098
-0.00881,0.08,0.098
-0.0088,0.16,0.098
-0.008790000000000001,0.16,0.098
-0.00878,0.08,0.096
-0.00877,0.08,0.094
-0.00876,0.08,0.094
-0.00875,0.16,0.094
-0.008740000000000001,0.16,0.092
-0.00873,0.16,0.092
-0.00872,0.16,0.09
-0.00871,0.08,0.09
-0.0087,0.16,0.09
-0.00869,0.16,0.09
-0.00868,0.08,0.088
-0.00867,0.16,0.08600000000000001
-0.008660000000000001,0.16,0.084
-0.008650000000000001,0.08,0.084
-0.00864,0.16,0.082
-0.00863,0.16,0.082
-0.008620000000000001,0.16,0.082
-0.00861,0.08,0.08
-0.0086,0.16,0.08
-0.00859,0.08,0.078
-0.00858,0.08,0.078
-0.008570000000000001,0.08,0.076
-0.008560000000000002,0.08,0.074
-0.00855,0.16,0.074
-0.00854,0.16,0.07200000000000001
-0.00853,0.16,0.07
-0.00852,0.08,0.07
-0.00851,0.08,0.068
-0.0085,0.08,0.068
-0.008490000000000001,0.16,0.066
-0.008480000000000001,0.08,0.064
-0.00847,0.08,0.064
-0.00846,0.08,0.064
-0.00845,0.16,0.064
-0.00844,0.16,0.06
-0.00843,0.08,0.06
-0.00842,0.16,0.056
-0.00841,0.08,0.056
-0.008400000000000001,0.16,0.054
-0.008390000000000002,0.16,0.052000000000000005
-0.00838,0.16,0.052000000000000005
-0.00837,0.16,0.05
-0.00836,0.08,0.048
-0.00835,0.16,0.046
-0.00834,0.16,0.046
-0.00833,0.08,0.042
-0.008320000000000001,0.08,0.042
-0.008310000000000001,0.08,0.04
-0.0083,0.16,0.04
-0.00829,0.16,0.038
-0.00828,0.08,0.036000000000000004
-0.00827,0.16,0.038
-0.00826,0.08,0.036000000000000004
-0.00825,0.08,0.034
-0.00824,0.08,0.032
-0.008230000000000001,0.16,0.032
-0.008220000000000002,0.16,0.032
-0.00821,0.08,0.03
-0.0082,0.16,0.03
-0.00819,0.08,0.028
-0.00818,0.08,0.028
-0.00817,0.08,0.028
-0.00816,0.08,0.028
-0.008150000000000001,0.16,0.028
-0.008140000000000001,0.08,0.028
-0.00813,0.16,0.028
-0.00812,0.16,0.028
-0.00811,0.16,0.028
-0.0081,0.08,0.024
-0.00809,0.16,0.026000000000000002
-0.00808,0.16,0.026000000000000002
-0.00807,0.16,0.026000000000000002
-0.008060000000000001,0.16,0.024
-0.008050000000000002,0.16,0.024
-0.00804,0.16,0.024
-0.00803,0.08,0.022
-0.00802,0.16,0.022
-0.00801,0.16,0.022
-0.008,0.08,0.022
-0.00799,0.16,0.022
-0.007980000000000001,0.16,0.02
-0.007970000000000001,0.16,0.02
-0.00796,0.16,0.02
-0.00795,0.16,0.02
-0.00794,0.16,0.022
-0.00793,0.08,0.02
-0.00792,0.16,0.02
-0.00791,0.08,0.02
-0.0079,0.08,0.018000000000000002
-0.007890000000000001,0.16,0.018000000000000002
-0.007880000000000002,0.16,0.02
-0.00787,0.16,0.018000000000000002
-0.00786,0.16,0.018000000000000002
-0.00785,0.16,0.018000000000000002
-0.00784,0.08,0.018000000000000002
-0.00783,0.16,0.016
-0.00782,0.16,0.018000000000000002
-0.00781,0.08,0.016
-0.0078000000000000005,0.16,0.018000000000000002
-0.00779,0.08,0.018000000000000002
-0.0077800000000000005,0.08,0.018000000000000002
-0.00777,0.08,0.016
-0.00776,0.16,0.016
-0.00775,0.08,0.016
-0.00774,0.16,0.016
-0.00773,0.08,0.016
-0.00772,0.16,0.016
-0.007710000000000001,0.16,0.016
-0.0077,0.08,0.016
-0.007690000000000001,0.16,0.016
-0.00768,0.08,0.016
-0.007670000000000001,0.16,0.014
-0.00766,0.08,0.014
