Time (s),Voltage (V)
-0.1254,0.08
-0.12530000000000002,0.08
-0.1252,0.08
-0.12510000000000002,0.08
-0.125,0.08
-0.12490000000000001,0.08
-0.12480000000000001,0.08
-0.1247,0.08
-0.12460000000000002,0.0
-0.12450000000000001,0.0
-0.12440000000000001,0.08
-0.12430000000000001,0.0
-0.1242,0.08
-0.12410000000000002,0.0
-0.12400000000000001,0.08
-0.12390000000000001,0.0
-0.12380000000000001,0.0
-0.1237,0.08
-0.12360000000000002,0.0
-0.12350000000000001,0.08
-0.12340000000000001,0.0
-0.1233,0.08
-0.12320000000000002,0.08
-0.12310000000000001,0.08
-0.12300000000000001,0.0
-0.12290000000000001,0.08
-0.1228,0.08
-0.12270000000000002,0.08
-0.12260000000000001,0.0
-0.12250000000000001,0.08
-0.12240000000000001,0.0
-0.1223,0.0
-0.12220000000000002,0.08
-0.12210000000000001,0.0
-0.12200000000000001,0.08
-0.12190000000000001,0.08
-0.1218,0.08
-0.12170000000000002,0.0
-0.12160000000000001,0.08
-0.12150000000000001,0.0
-0.12140000000000001,0.08
-0.1213,0.0
-0.12120000000000002,0.08
-0.12110000000000001,0.0
-0.12100000000000001,0.0
-0.12090000000000001,0.0
-0.12080000000000002,0.08
-0.12070000000000002,0.0
-0.12060000000000001,0.0
-0.12050000000000001,0.0
-0.12040000000000001,0.08
-0.12030000000000002,0.0
-0.12020000000000002,0.0
-0.12010000000000001,0.0
-0.12000000000000001,0.0
-0.1199,0.08
-0.11980000000000002,0.0
-0.11970000000000001,0.08
-0.11960000000000001,0.0
-0.11950000000000001,0.08
-0.1194,0.0
-0.11930000000000002,0.08
-0.11920000000000001,0.08
-0.11910000000000001,0.0
-0.11900000000000001,0.0
-0.1189,3.36
-0.11880000000000002,3.36
-0.11870000000000001,3.36
-0.11860000000000001,3.36
-0.11850000000000001,3.36
-0.1184,3.44
-0.11830000000000002,3.36
-0.11820000000000001,3.44
-0.11810000000000001,3.44
-0.11800000000000001,3.44
-0.1179,3.36
-0.11780000000000002,3.36
-0.11770000000000001,3.44
-0.11760000000000001,3.44
-0.11750000000000001,3.36
-0.1174,3.36
-0.11730000000000002,3.44
-0.11720000000000001,3.36
-0.11710000000000001,3.44
-0.117,3.36
-0.1169,3.36
-0.11680000000000001,3.36
-0.11670000000000001,3.44
-0.11660000000000001,3.44
-0.1165,3.36
-0.1164,3.44
-0.11630000000000001,3.36
-0.11620000000000001,3.36
-0.11610000000000001,3.44
-0.116,3.44
-0.11590000000000002,3.36
-0.11580000000000001,3.44
-0.11570000000000001,3.36
-0.11560000000000001,3.36
-0.1155,3.44
-0.11540000000000002,3.36
-0.11530000000000001,3.36
-0.11520000000000001,3.36
-0.11510000000000001,3.36
-0.115,3.36
-0.11490000000000002,3.36
-0.11480000000000001,3.36
-0.11470000000000001,3.36
-0.11460000000000001,3.36
-0.11450000000000002,3.36
-0.11440000000000002,3.36
-0.11430000000000001,3.36
-0.11420000000000001,3.36
-0.11410000000000001,3.36
-0.11400000000000002,3.36
-0.11390000000000002,3.36
-0.11380000000000001,3.44
-0.11370000000000001,3.36
-0.1136,3.36
-0.11350000000000002,3.44
-0.11340000000000001,3.36
-0.11330000000000001,3.36
-0.11320000000000001,3.44
-0.1131,3.36
-0.11300000000000002,3.36
-0.11290000000000001,3.36
-0.11280000000000001,3.36
-0.11270000000000001,3.36
-0.1126,3.36
-0.11250000000000002,3.36
-0.11240000000000001,3.36
-0.11230000000000001,3.44
-0.11220000000000001,3.36
-0.1121,3.36
-0.11200000000000002,3.44
-0.11190000000000001,3.44
-0.11180000000000001,3.36
-0.11170000000000001,3.36
-0.1116,3.36
-0.11150000000000002,3.36
-0.11140000000000001,3.36
-0.11130000000000001,3.36
-0.11120000000000001,3.36
-0.1111,3.44
-0.11100000000000002,3.36
-0.11090000000000001,3.36
-0.11080000000000001,3.36
-0.1107,3.44
-0.1106,3.36
-0.11050000000000001,3.44
-0.11040000000000001,3.36
-0.11030000000000001,3.44
-0.1102,3.36
-0.1101,3.44
-0.11000000000000001,3.44
-0.10990000000000001,3.44
-0.10980000000000001,3.36
-0.1097,3.44
-0.1096,3.36
-0.10950000000000001,3.44
-0.10940000000000001,3.36
-0.10930000000000001,3.44
-0.10920000000000002,3.44
-0.1091,3.36
-0.10900000000000001,3.44
-0.10890000000000001,3.36
-0.10880000000000001,3.36
-0.10870000000000002,3.36
-0.1086,3.36
-0.10850000000000001,3.44
-0.10840000000000001,3.36
-0.10830000000000001,3.44
-0.10820000000000002,3.44
-0.10810000000000002,3.44
-0.10800000000000001,3.36
-0.10790000000000001,0.08
-0.1078,0.08
-0.10770000000000002,0.0
-0.10760000000000002,0.0
-0.10750000000000001,0.08
-0.10740000000000001,0.08
-0.1073,0.08
-0.10720000000000002,0.08
-0.10710000000000001,0.0
-0.10700000000000001,0.0
-0.10690000000000001,0.08
-0.1068,0.08
-0.10670000000000002,0.0
-0.10660000000000001,0.08
-0.10650000000000001,0.08
-0.10640000000000001,0.08
-0.1063,0.0
-0.10620000000000002,0.0
-0.10610000000000001,0.0
-0.10600000000000001,0.08
-0.10590000000000001,0.08
-0.1058,0.0
-0.10570000000000002,0.0
-0.10560000000000001,0.08
-0.10550000000000001,0.08
-0.10540000000000001,0.0
-0.1053,0.0
-0.10520000000000002,0.0
-0.10510000000000001,0.08
-0.10500000000000001,0.0
-0.10490000000000001,0.0
-0.1048,0.08
-0.10470000000000002,0.0
-0.10460000000000001,0.08
-0.10450000000000001,0.0
-0.1044,0.0
-0.1043,0.08
-0.10420000000000001,0.0
-0.10410000000000001,0.08
-0.10400000000000001,0.08
-0.1039,0.0
-0.1038,0.0
-0.10370000000000001,0.0
-0.10360000000000001,0.0
-0.10350000000000001,0.0
-0.1034,0.08
-0.1033,0.08
-0.10320000000000001,0.0
-0.10310000000000001,0.08
-0.10300000000000001,0.0
-0.1029,0.0
-0.1028,0.08
-0.10270000000000001,0.08
-0.10260000000000001,0.08
-0.10250000000000001,0.08
-0.10240000000000002,0.0
-0.1023,0.08
-0.10220000000000001,0.0
-0.10210000000000001,0.08
-0.10200000000000001,0.0
-0.10190000000000002,0.08
-0.10180000000000002,0.08
-0.10170000000000001,0.08
-0.10160000000000001,0.08
-0.1015,0.0
-0.10140000000000002,0.08
-0.10130000000000002,0.08
-0.10120000000000001,0.08
-0.10110000000000001,0.0
-0.101,0.0
-0.10090000000000002,0.0
-0.10080000000000001,0.08
-0.10070000000000001,0.0
-0.10060000000000001,0.0
-0.1005,0.08
-0.10040000000000002,0.08
-0.10030000000000001,0.0
-0.10020000000000001,0.08
-0.10010000000000001,0.0
-0.1,0.0
-0.09990000000000002,0.0
-0.09980000000000001,0.0
-0.09970000000000001,0.08
-0.09960000000000001,0.08
-0.0995,0.0
-0.09940000000000002,0.08
-0.09930000000000001,0.0
-0.09920000000000001,0.0
-0.09910000000000001,0.0
-0.099,0.08
-0.09890000000000002,0.08
-0.09880000000000001,0.08
-0.09870000000000001,0.0
-0.09860000000000001,0.08
-0.0985,0.08
-0.09840000000000002,0.08
-0.09830000000000001,0.08
-0.09820000000000001,0.08
-0.0981,0.08
-0.098,0.0
-0.09790000000000001,0.0
-0.09780000000000001,0.08
-0.09770000000000001,0.08
-0.0976,0.0
-0.0975,0.0
-0.09740000000000001,0.0
-0.09730000000000001,0.0
-0.09720000000000001,0.08
-0.0971,0.08
-0.097,0.08
-0.09690000000000001,0.08
-0.09680000000000001,0.08
-0.09670000000000001,0.0
-0.0966,0.08
-0.0965,0.08
-0.09640000000000001,0.0
-0.09630000000000001,0.08
-0.09620000000000001,0.0
-0.0961,0.08
-0.096,0.0
-0.09590000000000001,0.0
-0.09580000000000001,3.36
-0.09570000000000001,3.36
-0.09560000000000002,3.44
-0.0955,3.44
-0.09540000000000001,3.36
-0.09530000000000001,3.44
-0.0952,3.44
-0.09510000000000002,3.36
-0.09500000000000001,3.44
-0.09490000000000001,3.36
-0.09480000000000001,3.44
-0.0947,3.44
-0.09460000000000002,3.36
-0.09450000000000001,3.36
-0.09440000000000001,3.44
-0.09430000000000001,3.36
-0.0942,3.36
-0.09410000000000002,3.36
-0.094,3.36
-0.09390000000000001,3.44
-0.09380000000000001,3.36
-0.0937,3.36
-0.09360000000000002,3.36
-0.0935,3.36
-0.09340000000000001,3.44
-0.09330000000000001,3.36
-0.0932,3.36
-0.09310000000000002,3.44
-0.09300000000000001,3.36
-0.09290000000000001,3.36
-0.09280000000000001,3.36
-0.0927,3.36
-0.09260000000000002,3.36
-0.09250000000000001,3.44
-0.09240000000000001,3.36
-0.09230000000000001,3.36
-0.0922,3.36
-0.09210000000000002,3.44
-0.09200000000000001,3.36
-0.09190000000000001,3.36
-0.0918,3.44
-0.0917,3.36
-0.09160000000000001,3.36
-0.09150000000000001,3.36
-0.09140000000000001,3.36
-0.09130000000000002,3.36
-0.0912,3.36
-0.09110000000000001,3.36
-0.09100000000000001,3.36
-0.09090000000000001,3.36
-0.09080000000000002,3.36
-0.0907,3.44
-0.09060000000000001,3.36
-0.09050000000000001,3.36
-0.09040000000000001,3.36
-0.09030000000000002,3.36
-0.0902,3.36
-0.09010000000000001,3.44
-0.09000000000000001,3.36
-0.08990000000000001,3.44
-0.08980000000000002,3.44
-0.0897,3.36
-0.08960000000000001,3.36
-0.08950000000000001,3.36
-0.08940000000000001,3.36
-0.08930000000000002,3.36
-0.0892,3.44
-0.08910000000000001,3.36
-0.08900000000000001,3.36
-0.0889,3.44
-0.08880000000000002,3.36
-0.0887,3.44
-0.08860000000000001,3.36
