Time (s),Voltage (V)
-7.6e-08,-0.16
-7.58e-08,-0.16
-7.56e-08,-0.16
-7.54e-08,-0.16
-7.520000000000001e-08,-0.16
-7.500000000000001e-08,-0.12
-7.480000000000001e-08,-0.12
-7.46e-08,-0.12
-7.44e-08,-0.12
-7.42e-08,-0.12
-7.4e-08,-0.12
-7.38e-08,-0.12
-7.360000000000001e-08,-0.12
-7.340000000000001e-08,-0.12
-7.320000000000001e-08,-0.12
-7.3e-08,-0.12
-7.28e-08,-0.16
-7.26e-08,-0.16
-7.24e-08,-0.16
-7.220000000000001e-08,-0.16
-7.200000000000001e-08,-0.16
-7.180000000000001e-08,-0.16
-7.16e-08,-0.16
-7.14e-08,-0.16
-7.12e-08,-0.16
-7.1e-08,-0.16
-7.08e-08,-0.16
-7.060000000000001e-08,-0.16
-7.040000000000001e-08,-0.16
-7.02e-08,-0.16
-7e-08,-0.16
-6.98e-08,-0.16
-6.96e-08,-0.16
-6.94e-08,-0.16
-6.920000000000001e-08,-0.16
-6.900000000000001e-08,-0.12
-6.880000000000001e-08,-0.16
-6.86e-08,-0.16
-6.84e-08,-0.16
-6.82e-08,-0.16
-6.8e-08,-0.16
-6.780000000000001e-08,-0.16
-6.760000000000001e-08,-0.16
-6.740000000000001e-08,-0.16
-6.72e-08,-0.16
-6.7e-08,-0.12
-6.68e-08,-0.12
-6.66e-08,-0.12
-6.640000000000001e-08,-0.12
-6.620000000000001e-08,-0.12
-6.600000000000001e-08,-0.12
-6.580000000000001e-08,-0.16
-6.56e-08,-0.16
-6.54e-08,-0.16
-6.52e-08,-0.16
-6.5e-08,-0.16
-6.48e-08,-0.16
-6.460000000000001e-08,-0.16
-6.440000000000001e-08,-0.16
-6.42e-08,-0.16
-6.4e-08,-0.12
-6.38e-08,-0.12
-6.36e-08,-0.12
-6.34e-08,-0.12
-6.320000000000001e-08,-0.12
-6.300000000000001e-08,-0.12
-6.28e-08,-0.12
-6.26e-08,-0.12
-6.24e-08,-0.12
-6.22e-08,-0.12
-6.2e-08,-0.12
-6.180000000000001e-08,-0.16
-6.160000000000001e-08,-0.16
-6.140000000000001e-08,-0.16
-6.12e-08,-0.16
-6.1e-08,-0.16
-6.08e-08,-0.2
-6.06e-08,-0.2
-6.040000000000001e-08,-0.2
-6.020000000000001e-08,-0.2
-6.000000000000001e-08,-0.16
-5.98e-08,-0.16
-5.9600000000000004e-08,-0.16
-5.94e-08,-0.12
-5.92e-08,-0.12
-5.9000000000000006e-08,-0.08
-5.8800000000000004e-08,-0.08
-5.860000000000001e-08,-0.12
-5.840000000000001e-08,-0.12
-5.8200000000000005e-08,-0.12
-5.8e-08,-0.12
-5.78e-08,-0.16
-5.7600000000000006e-08,-0.16
-5.7400000000000004e-08,-0.16
-5.720000000000001e-08,-0.16
-5.700000000000001e-08,-0.16
-5.6800000000000006e-08,-0.16
-5.6600000000000004e-08,-0.16
-5.64e-08,-0.16
-5.62e-08,-0.16
-5.6000000000000005e-08,-0.16
-5.5800000000000003e-08,-0.16
-5.560000000000001e-08,-0.16
-5.5400000000000006e-08,-0.16
-5.5200000000000005e-08,-0.16
-5.5e-08,-0.16
-5.48e-08,-0.16
-5.4600000000000006e-08,-0.16
-5.4400000000000004e-08,-0.16
-5.420000000000001e-08,-0.16
-5.400000000000001e-08,-0.16
-5.3800000000000005e-08,-0.16
-5.3600000000000004e-08,-0.16
-5.34e-08,-0.16
-5.32e-08,-0.16
-5.3000000000000005e-08,-0.16
-5.280000000000001e-08,-0.16
-5.260000000000001e-08,-0.16
-5.2400000000000006e-08,-0.16
-5.2200000000000004e-08,-0.16
-5.2e-08,-0.12
-5.18e-08,-0.16
-5.1600000000000005e-08,-0.16
-5.1400000000000004e-08,-0.16
-5.120000000000001e-08,-0.16
