Time (s),CH1_Voltage (V),CH2_Voltage (V),CH3_Voltage (V),CH4_Voltage (V)
0.0,0.0,32.0,0.0,34.0
0.001,0.0,32.0,0.0,34.0
0.002,0.0,34.0,0.0,34.0
0.003,0.0,34.0,0.0,34.0
0.004,0.0,34.0,0.0,34.0
0.005,0.0,32.0,0.0,34.0
0.006,0.0,34.0,0.0,34.0
0.007,0.0,32.0,0.0,34.0
0.008,0.0,32.0,0.0,34.0
0.009000000000000001,0.0,32.0,0.0,34.0
0.01,0.0,32.0,0.0,34.0
0.011,0.0,32.0,0.0,34.0
0.012,0.0,34.0,0.0,36.0
0.013000000000000001,0.0,34.0,0.0,34.0
0.014,0.0,32.0,0.0,34.0
0.015,0.0,32.0,0.0,36.0
0.016,0.0,32.0,0.0,34.0
0.017,0.0,34.0,2.0,34.0
0.018000000000000002,0.0,32.0,0.0,34.0
0.019,0.0,32.0,0.0,34.0
0.02,0.0,34.0,0.0,2.0
0.021,0.0,32.0,0.0,2.0
0.022,0.0,32.0,0.0,2.0
0.023,0.0,34.0,0.0,2.0
0.024,0.0,34.0,0.0,2.0
0.025,0.0,32.0,0.0,2.0
0.026000000000000002,0.0,32.0,34.0,2.0
0.027,0.0,34.0,34.0,2.0
0.028,0.0,32.0,34.0,2.0
0.029,0.0,32.0,34.0,2.0
0.03,0.0,0.0,34.0,2.0
0.031,0.0,0.0,34.0,2.0
0.032,0.0,2.0,34.0,2.0
0.033,0.0,0.0,34.0,2.0
0.034,0.0,0.0,34.0,2.0
0.035,0.0,0.0,34.0,2.0
0.036000000000000004,0.0,0.0,34.0,2.0
0.037,0.0,0.0,34.0,2.0
0.038,0.0,0.0,34.0,0.0
0.039,0.0,0.0,34.0,0.0
0.04,0.0,0.0,34.0,2.0
0.041,2.0,0.0,34.0,2.0
0.042,0.0,0.0,34.0,2.0
0.043000000000000003,0.0,0.0,0.0,2.0
0.044,50.0,0.0,0.0,2.0
0.045,50.0,0.0,0.0,2.0
0.046,50.0,0.0,0.0,0.0
0.047,50.0,0.0,0.0,2.0
0.048,50.0,0.0,0.0,2.0
0.049,50.0,0.0,0.0,2.0
0.05,50.0,0.0,0.0,2.0
0.051000000000000004,50.0,0.0,0.0,0.0
0.052000000000000005,50.0,0.0,0.0,2.0
0.053,50.0,0.0,0.0,2.0
0.054,50.0,0.0,0.0,2.0
0.055,50.0,0.0,0.0,2.0
0.056,50.0,0.0,0.0,2.0
0.057,50.0,0.0,0.0,2.0
0.058,50.0,0.0,0.0,2.0
0.059000000000000004,50.0,0.0,0.0,2.0
0.06,50.0,0.0,0.0,2.0
0.061,50.0,0.0,0.0,2.0
0.062,50.0,0.0,0.0,2.0
0.063,48.0,0.0,0.0,2.0
0.064,50.0,0.0,0.0,0.0
0.065,50.0,2.0,0.0,2.0
0.066,50.0,0.0,0.0,2.0
0.067,50.0,0.0,0.0,2.0
0.068,50.0,0.0,0.0,2.0
0.069,50.0,0.0,0.0,2.0
0.07,50.0,0.0,0.0,2.0
0.07100000000000001,50.0,0.0,0.0,2.0
0.07200000000000001,50.0,0.0,0.0,2.0
0.073,50.0,0.0,0.0,2.0
0.074,50.0,0.0,0.0,2.0
0.075,50.0,0.0,2.0,2.0
0.076,50.0,0.0,0.0,2.0
0.077,50.0,0.0,0.0,2.0
0.078,50.0,0.0,0.0,2.0
0.079,50.0,0.0,0.0,2.0
0.08,50.0,2.0,2.0,2.0
0.081,50.0,0.0,0.0,2.0
0.082,50.0,0.0,0.0,2.0
0.083,50.0,0.0,0.0,2.0
0.084,50.0,0.0,0.0,2.0
0.085,50.0,0.0,0.0,2.0
0.08600000000000001,50.0,0.0,0.0,2.0
0.08700000000000001,50.0,0.0,0.0,2.0
0.088,50.0,0.0,0.0,2.0
0.089,50.0,0.0,0.0,2.0
0.09,50.0,0.0,0.0,2.0
0.091,50.0,0.0,0.0,2.0
0.092,50.0,2.0,0.0,2.0
0.093,50.0,0.0,0.0,2.0
0.094,50.0,0.0,0.0,2.0
0.095,50.0,0.0,0.0,2.0
0.096,50.0,0.0,0.0,2.0
0.097,50.0,0.0,0.0,2.0
0.098,50.0,0.0,0.0,2.0
0.099,50.0,0.0,0.0,2.0
0.1,50.0,0.0,0.0,2.0
0.101,50.0,0.0,0.0,2.0
0.10200000000000001,50.0,0.0,0.0,2.0
0.10300000000000001,50.0,0.0,0.0,2.0
0.10400000000000001,50.0,0.0,0.0,2.0
0.105,50.0,0.0,0.0,2.0
0.106,50.0,0.0,0.0,2.0
0.107,50.0,0.0,0.0,2.0
0.108,50.0,0.0,0.0,2.0
0.109,50.0,2.0,0.0,2.0
0.11,50.0,0.0,0.0,2.0
0.111,50.0,0.0,0.0,2.0
0.112,50.0,0.0,0.0,2.0
0.113,50.0,0.0,2.0,2.0
0.114,50.0,0.0,0.0,2.0
0.115,50.0,0.0,0.0,2.0
0.116,50.0,0.0,0.0,2.0
0.117,50.0,0.0,0.0,2.0
0.11800000000000001,50.0,0.0,0.0,2.0
0.11900000000000001,50.0,2.0,0.0,2.0
0.12,50.0,0.0,0.0,2.0
0.121,50.0,0.0,0.0,2.0
0.122,50.0,0.0,0.0,2.0
0.123,48.0,0.0,0.0,2.0
0.124,50.0,0.0,0.0,2.0
0.125,50.0,0.0,0.0,2.0
0.126,50.0,0.0,0.0,2.0
0.127,50.0,0.0,0.0,2.0
0.128,50.0,0.0,0.0,2.0
0.129,50.0,0.0,2.0,2.0
0.13,50.0,0.0,0.0,2.0
0.131,50.0,2.0,0.0,2.0
0.132,50.0,0.0,0.0,2.0
0.133,50.0,0.0,0.0,2.0
0.134,50.0,0.0,0.0,2.0
0.135,50.0,0.0,0.0,2.0
0.136,50.0,0.0,0.0,2.0
0.137,50.0,0.0,0.0,2.0
0.138,50.0,0.0,0.0,2.0
0.139,50.0,0.0,2.0,2.0
0.14,50.0,0.0,0.0,0.0
0.14100000000000001,50.0,0.0,0.0,2.0
0.14200000000000002,50.0,0.0,2.0,2.0
0.14300000000000002,50.0,0.0,0.0,2.0
0.14400000000000002,0.0,0.0,0.0,0.0
0.145,0.0,0.0,0.0,2.0
0.146,2.0,0.0,0.0,2.0
0.147,0.0,0.0,2.0,2.0
0.148,0.0,0.0,0.0,0.0
