Time (s),CH1_Voltage (V),CH2_Voltage (V),CH3_Voltage (V),CH4_Voltage (V)
0.0,50.0,0.0,0.0,2.0
0.001,50.0,0.0,0.0,0.0
0.002,50.0,0.0,2.0,2.0
0.003,50.0,2.0,0.0,2.0
0.004,50.0,0.0,2.0,2.0
0.005,50.0,0.0,0.0,2.0
0.006,50.0,0.0,0.0,0.0
0.007,48.0,0.0,0.0,2.0
0.008,50.0,0.0,0.0,2.0
0.009000000000000001,50.0,0.0,0.0,2.0
0.01,50.0,0.0,0.0,2.0
0.011,50.0,0.0,0.0,2.0
0.012,50.0,0.0,0.0,2.0
0.013000000000000001,50.0,0.0,0.0,2.0
0.014,50.0,0.0,0.0,2.0
0.015,50.0,0.0,0.0,2.0
0.016,50.0,0.0,0.0,2.0
0.017,50.0,0.0,0.0,0.0
0.018000000000000002,48.0,0.0,0.0,2.0
0.019,48.0,0.0,0.0,2.0
0.02,50.0,0.0,2.0,2.0
0.021,50.0,0.0,0.0,2.0
0.022,50.0,0.0,0.0,2.0
0.023,48.0,2.0,0.0,2.0
0.024,50.0,0.0,0.0,2.0
0.025,50.0,0.0,0.0,2.0
0.026000000000000002,50.0,0.0,0.0,2.0
0.027,50.0,0.0,0.0,2.0
0.028,50.0,0.0,0.0,2.0
0.029,50.0,0.0,0.0,2.0
0.03,50.0,0.0,0.0,2.0
0.031,50.0,0.0,0.0,2.0
0.032,50.0,0.0,0.0,2.0
0.033,50.0,0.0,0.0,2.0
0.034,50.0,0.0,0.0,2.0
0.035,50.0,0.0,2.0,2.0
0.036000000000000004,50.0,0.0,0.0,2.0
0.037,50.0,0.0,0.0,2.0
0.038,50.0,0.0,0.0,2.0
0.039,50.0,0.0,0.0,2.0
0.04,50.0,0.0,0.0,2.0
0.041,50.0,0.0,0.0,2.0
0.042,50.0,0.0,0.0,2.0
0.043000000000000003,50.0,0.0,0.0,2.0
0.044,50.0,0.0,0.0,2.0
0.045,50.0,0.0,0.0,2.0
0.046,50.0,0.0,0.0,2.0
0.047,50.0,0.0,0.0,2.0
0.048,50.0,0.0,0.0,2.0
0.049,50.0,0.0,0.0,2.0
0.05,50.0,0.0,0.0,0.0
0.051000000000000004,50.0,0.0,0.0,2.0
0.052000000000000005,50.0,0.0,0.0,2.0
0.053,50.0,0.0,2.0,2.0
0.054,50.0,0.0,2.0,2.0
0.055,50.0,0.0,0.0,2.0
0.056,50.0,0.0,0.0,2.0
0.057,50.0,0.0,0.0,2.0
0.058,50.0,0.0,0.0,2.0
0.059000000000000004,50.0,0.0,2.0,2.0
0.06,50.0,0.0,0.0,2.0
0.061,50.0,0.0,2.0,2.0
0.062,2.0,0.0,0.0,2.0
0.063,0.0,0.0,0.0,2.0
0.064,0.0,0.0,0.0,2.0
0.065,0.0,0.0,0.0,2.0
0.066,0.0,0.0,0.0,2.0
0.067,0.0,34.0,0.0,2.0
0.068,0.0,34.0,0.0,2.0
0.069,0.0,32.0,0.0,2.0
0.07,0.0,32.0,0.0,2.0
0.07100000000000001,0.0,34.0,0.0,2.0
0.07200000000000001,0.0,32.0,0.0,2.0
0.073,0.0,34.0,0.0,2.0
0.074,0.0,34.0,0.0,2.0
0.075,0.0,32.0,0.0,34.0
0.076,0.0,32.0,0.0,34.0
0.077,0.0,32.0,0.0,36.0
0.078,0.0,34.0,0.0,34.0
0.079,0.0,32.0,0.0,34.0
0.08,0.0,34.0,0.0,36.0
0.081,0.0,32.0,2.0,34.0
0.082,0.0,32.0,0.0,34.0
0.083,0.0,32.0,0.0,34.0
0.084,0.0,34.0,0.0,34.0
0.085,0.0,34.0,2.0,34.0
0.08600000000000001,2.0,34.0,0.0,34.0
0.08700000000000001,0.0,32.0,0.0,34.0
0.088,0.0,32.0,0.0,34.0
0.089,0.0,32.0,0.0,34.0
0.09,0.0,34.0,0.0,34.0
0.091,0.0,32.0,0.0,34.0
0.092,0.0,34.0,2.0,34.0
0.093,0.0,32.0,0.0,34.0
0.094,0.0,32.0,0.0,34.0
0.095,0.0,32.0,0.0,34.0
0.096,0.0,32.0,0.0,34.0
0.097,0.0,32.0,0.0,34.0
0.098,0.0,34.0,0.0,34.0
0.099,0.0,32.0,0.0,34.0
0.1,0.0,34.0,2.0,34.0
0.101,0.0,32.0,0.0,34.0
0.10200000000000001,0.0,34.0,0.0,34.0
0.10300000000000001,0.0,32.0,0.0,34.0
0.10400000000000001,0.0,34.0,0.0,34.0
0.105,0.0,32.0,0.0,34.0
0.106,0.0,32.0,0.0,36.0
0.107,0.0,34.0,0.0,34.0
0.108,0.0,34.0,0.0,34.0
0.109,0.0,32.0,0.0,34.0
0.11,0.0,32.0,0.0,34.0
0.111,0.0,32.0,2.0,34.0
0.112,0.0,32.0,0.0,34.0
0.113,0.0,32.0,0.0,34.0
0.114,0.0,34.0,0.0,34.0
0.115,0.0,32.0,0.0,34.0
0.116,0.0,32.0,0.0,34.0
0.117,0.0,32.0,0.0,34.0
0.11800000000000001,0.0,34.0,0.0,34.0
0.11900000000000001,0.0,34.0,2.0,34.0
0.12,0.0,32.0,0.0,34.0
0.121,0.0,34.0,0.0,34.0
0.122,0.0,32.0,0.0,34.0
0.123,0.0,34.0,0.0,34.0
0.124,0.0,32.0,0.0,34.0
0.125,0.0,32.0,0.0,34.0
0.126,2.0,32.0,0.0,34.0
0.127,0.0,32.0,0.0,34.0
0.128,0.0,32.0,0.0,34.0
0.129,0.0,32.0,0.0,34.0
0.13,0.0,32.0,0.0,34.0
0.131,0.0,34.0,0.0,34.0
0.132,0.0,32.0,2.0,34.0
0.133,0.0,34.0,0.0,34.0
0.134,0.0,32.0,0.0,34.0
0.135,0.0,32.0,0.0,34.0
0.136,0.0,32.0,0.0,34.0
0.137,0.0,32.0,0.0,34.0
0.138,0.0,32.0,0.0,34.0
0.139,0.0,34.0,0.0,34.0
0.14,0.0,32.0,0.0,34.0
0.14100000000000001,0.0,32.0,2.0,34.0
0.14200000000000002,0.0,32.0,0.0,34.0
0.14300000000000002,0.0,32.0,0.0,34.0
0.14400000000000002,0.0,34.0,0.0,34.0
0.145,0.0,34.0,0.0,34.0
0.146,0.0,32.0,0.0,34.0
0.147,2.0,32.0,0.0,34.0
0.148,0.0,32.0,0.0,34.0
0.149,0.0,34.0,0.0,34.0
0.15,0.0,34.0,0.0,34.0
0.151,0.0,32.0,0.0,34.0
0.152,2.0,34.0,0.0,34.0
0.153,0.0,32.0,0.0,34.0
0.154,0.0,34.0,2.0,34.0
0.155,0.0,32.0,2.0,34.0
0.156,0.0,32.0,0.0,34.0
0.157,0.0,32.0,0.0,34.0
0.158,0.0,34.0,0.0,34.0
0.159,0.0,34.0,2.0,34.0
0.16,0.0,32.0,0.0,34.0
0.161,0.0,32.0,0.0,34.0
0.162,0.0,32.0,0.0,34.0
0.163,0.0,32.0,2.0,34.0
0.164,0.0,32.0,0.0,34.0
0.165,0.0,32.0,0.0,34.0
0.166,0.0,32.0,0.0,34.0
0.167,0.0,32.0,0.0,34.0
0.168,0.0,32.0,0.0,34.0
0.169,0.0,34.0,0.0,34.0
0.17,0.0,34.0,0.0,34.0
0.171,0.0,34.0,0.0,34.0
0.17200000000000001,0.0,32.0,0.0,34.0
0.17300000000000001,0.0,32.0,0.0,34.0
0.17400000000000002,0.0,34.0,0.0,34.0
0.17500000000000002,0.0,34.0,0.0,34.0
0.176,0.0,32.0,0.0,34.0
0.177,0.0,32.0,0.0,34.0
0.178,0.0,32.0,0.0,34.0
0.179,0.0,32.0,0.0,34.0
0.18,0.0,32.0,0.0,34.0
0.181,0.0,32.0,0.0,34.0
0.182,0.0,32.0,0.0,2.0
0.183,0.0,34.0,0.0,2.0
0.184,0.0,32.0,0.0,2.0
0.185,0.0,34.0,0.0,2.0
0.186,0.0,32.0,0.0,2.0
0.187,0.0,34.0,0.0,0.0
0.188,0.0,32.0,34.0,2.0
0.189,0.0,32.0,34.0,2.0
0.19,0.0,34.0,34.0,2.0
0.191,0.0,32.0,34.0,2.0
0.192,0.0,0.0,34.0,2.0
0.193,0.0,0.0,34.0,2.0
0.194,0.0,0.0,34.0,2.0
0.195,0.0,0.0,34.0,2.0
0.196,0.0,0.0,34.0,2.0
0.197,0.0,0.0,34.0,2.0
0.198,0.0,0.0,34.0,2.0
0.199,0.0,0.0,34.0,2.0
0.2,0.0,0.0,34.0,2.0
0.201,0.0,0.0,34.0,2.0
0.202,0.0,0.0,34.0,2.0
0.203,0.0,0.0,34.0,2.0
0.20400000000000001,0.0,0.0,0.0,2.0
0.20500000000000002,48.0,0.0,0.0,2.0
0.20600000000000002,50.0,0.0,0.0,2.0
0.20700000000000002,50.0,2.0,0.0,2.0
0.20800000000000002,50.0,0.0,0.0,2.0
0.209,50.0,0.0,0.0,2.0
0.21,50.0,0.0,0.0,2.0
0.211,50.0,0.0,0.0,2.0
0.212,50.0,0.0,0.0,2.0
0.213,50.0,0.0,0.0,2.0
0.214,50.0,0.0,0.0,2.0
0.215,50.0,2.0,0.0,2.0
0.216,50.0,0.0,0.0,2.0
0.217,50.0,2.0,0.0,2.0
0.218,50.0,0.0,0.0,2.0
0.219,48.0,0.0,2.0,2.0
0.22,50.0,0.0,0.0,2.0
0.221,50.0,0.0,0.0,2.0
0.222,48.0,0.0,0.0,2.0
0.223,50.0,0.0,0.0,2.0
0.224,48.0,2.0,0.0,2.0
0.225,50.0,0.0,0.0,2.0
0.226,50.0,0.0,0.0,2.0
0.227,50.0,0.0,0.0,2.0
0.228,50.0,2.0,0.0,2.0
0.229,50.0,0.0,0.0,2.0
0.23,50.0,0.0,0.0,2.0
0.231,50.0,0.0,0.0,2.0
0.232,50.0,0.0,0.0,2.0
0.233,50.0,0.0,0.0,2.0
0.234,50.0,0.0,2.0,2.0
0.23500000000000001,50.0,0.0,0.0,2.0
0.23600000000000002,50.0,0.0,0.0,2.0
0.23700000000000002,50.0,0.0,0.0,2.0
0.23800000000000002,50.0,0.0,0.0,2.0
0.23900000000000002,50.0,0.0,0.0,2.0
0.24,50.0,0.0,0.0,2.0
0.241,50.0,0.0,0.0,2.0
0.242,50.0,0.0,0.0,2.0
0.243,50.0,0.0,-2.0,2.0
0.244,50.0,0.0,0.0,2.0
0.245,50.0,0.0,0.0,2.0
0.246,50.0,0.0,0.0,2.0
0.247,50.0,0.0,0.0,2.0
0.248,50.0,0.0,0.0,2.0
0.249,50.0,0.0,0.0,2.0
0.25,50.0,0.0,2.0,2.0
0.251,50.0,0.0,0.0,2.0
0.252,50.0,0.0,0.0,2.0
0.253,48.0,0.0,0.0,2.0
0.254,50.0,0.0,0.0,2.0
0.255,50.0,0.0,0.0,2.0
0.256,50.0,0.0,0.0,2.0
0.257,50.0,0.0,0.0,2.0
0.258,50.0,0.0,0.0,2.0
0.259,50.0,0.0,0.0,2.0
0.26,50.0,0.0,0.0,2.0
0.261,50.0,0.0,0.0,2.0
0.262,50.0,0.0,0.0,2.0
0.263,50.0,0.0,0.0,2.0
0.264,50.0,0.0,0.0,2.0
0.265,50.0,0.0,0.0,2.0
0.266,50.0,0.0,0.0,2.0
0.267,50.0,0.0,0.0,2.0
0.268,50.0,0.0,0.0,2.0
0.269,50.0,0.0,0.0,2.0
0.27,50.0,0.0,0.0,2.0
0.271,50.0,0.0,0.0,2.0
0.272,50.0,0.0,0.0,2.0
0.273,50.0,0.0,0.0,2.0
0.274,50.0,0.0,0.0,2.0
0.275,50.0,0.0,0.0,2.0
0.276,50.0,0.0,0.0,2.0
0.277,50.0,0.0,0.0,2.0
0.278,50.0,0.0,0.0,2.0
0.279,50.0,0.0,0.0,2.0
0.28,50.0,0.0,0.0,2.0
0.281,50.0,0.0,0.0,2.0
0.28200000000000003,50.0,0.0,2.0,2.0
0.28300000000000003,50.0,0.0,0.0,2.0
0.28400000000000003,50.0,0.0,0.0,2.0
0.28500000000000003,50.0,0.0,0.0,2.0
0.28600000000000003,50.0,0.0,2.0,2.0
0.28700000000000003,50.0,2.0,0.0,2.0
0.28800000000000003,50.0,0.0,0.0,0.0
0.289,50.0,2.0,0.0,2.0
0.29,50.0,0.0,0.0,2.0
0.291,50.0,0.0,0.0,2.0
0.292,50.0,0.0,0.0,2.0
0.293,48.0,0.0,0.0,2.0
0.294,50.0,0.0,0.0,2.0
0.295,50.0,0.0,0.0,2.0
0.296,50.0,0.0,0.0,2.0
0.297,50.0,0.0,0.0,2.0
0.298,50.0,0.0,0.0,2.0
0.299,50.0,0.0,0.0,2.0
0.3,50.0,0.0,0.0,2.0
0.301,50.0,0.0,0.0,2.0
0.302,50.0,0.0,2.0,2.0
0.303,50.0,0.0,0.0,2.0
0.304,50.0,0.0,0.0,2.0
0.305,0.0,0.0,0.0,2.0
0.306,0.0,0.0,0.0,2.0
0.307,2.0,0.0,0.0,2.0
0.308,0.0,0.0,0.0,2.0
0.309,0.0,34.0,0.0,2.0
0.31,0.0,32.0,0.0,2.0
0.311,0.0,34.0,0.0,2.0
0.312,0.0,32.0,0.0,2.0
0.313,0.0,34.0,0.0,2.0
0.314,0.0,34.0,0.0,2.0
0.315,0.0,32.0,0.0,2.0
0.316,0.0,32.0,0.0,34.0
0.317,0.0,32.0,0.0,34.0
0.318,0.0,32.0,0.0,34.0
0.319,0.0,32.0,0.0,34.0
0.32,0.0,32.0,0.0,36.0
0.321,0.0,34.0,0.0,34.0
0.322,0.0,34.0,0.0,34.0
0.323,0.0,34.0,0.0,36.0
0.324,0.0,32.0,0.0,34.0
0.325,0.0,32.0,0.0,34.0
0.326,0.0,32.0,0.0,34.0
0.327,0.0,34.0,0.0,34.0
0.328,0.0,32.0,0.0,36.0
0.329,2.0,34.0,0.0,34.0
0.33,0.0,32.0,0.0,34.0
0.331,0.0,32.0,2.0,34.0
0.332,2.0,32.0,0.0,34.0
0.333,0.0,34.0,0.0,34.0
0.334,0.0,34.0,0.0,34.0
0.335,0.0,32.0,0.0,36.0
0.336,0.0,32.0,0.0,34.0
0.337,0.0,32.0,0.0,34.0
0.338,0.0,34.0,0.0,34.0
