Time (s),Voltage (V)
-0.00981,3.36
-0.0098,3.36
-0.00979,3.44
-0.00978,3.36
-0.00977,3.36
-0.00976,3.36
-0.00975,3.44
-0.00974,3.44
-0.009729999999999999,3.36
-0.00972,3.36
-0.00971,3.44
-0.0097,3.36
-0.00969,3.36
-0.00968,3.36
-0.00967,3.36
-0.00966,3.36
-0.009649999999999999,3.36
-0.00964,3.36
-0.00963,3.36
-0.00962,3.36
-0.00961,3.36
-0.0096,3.36
-0.00959,3.44
-0.00958,3.36
-0.00957,3.36
-0.009559999999999999,3.36
-0.00955,3.44
-0.00954,3.36
-0.00953,3.36
-0.00952,3.36
-0.00951,3.44
-0.0095,3.36
-0.00949,3.36
-0.009479999999999999,3.44
-0.00947,3.36
-0.00946,3.36
-0.00945,3.36
-0.00944,3.44
-0.00943,3.36
-0.00942,3.36
-0.00941,3.36
-0.0094,3.36
-0.009389999999999999,3.36
-0.00938,3.36
-0.00937,3.36
-0.00936,3.44
-0.00935,3.44
-0.00934,3.44
-0.00933,3.36
-0.00932,3.44
-0.009309999999999999,3.36
-0.0093,3.44
-0.00929,3.36
-0.00928,3.36
-0.00927,3.36
-0.00926,3.44
-0.00925,3.36
-0.00924,3.44
-0.00923,3.44
-0.009219999999999999,3.36
-0.00921,3.44
-0.0092,3.36
-0.00919,3.44
-0.00918,3.36
-0.00917,0.08
-0.00916,0.08
-0.00915,0.0
-0.009139999999999999,0.08
-0.00913,0.0
-0.00912,0.08
-0.00911,0.08
-0.0091,0.08
-0.009089999999999999,0.0
-0.00908,0.08
-0.00907,0.0
-0.009059999999999999,0.0
-0.009049999999999999,0.0
-0.00904,0.0
-0.00903,0.08
-0.00902,0.0
-0.00901,0.08
-0.009,0.0
-0.00899,0.08
-0.008979999999999998,0.0
-0.008969999999999999,0.0
-0.00896,0.08
-0.00895,0.08
-0.00894,0.08
-0.00893,0.0
-0.00892,0.0
-0.00891,0.08
-0.0089,0.0
-0.008889999999999999,0.08
-0.008879999999999999,0.0
-0.00887,0.0
-0.00886,0.08
-0.00885,0.08
-0.00884,0.0
-0.00883,0.08
-0.00882,0.08
-0.008809999999999998,0.0
-0.008799999999999999,0.08
-0.00879,0.0
-0.00878,0.08
-0.00877,0.0
-0.00876,0.08
-0.00875,0.08
-0.00874,0.0
-0.00873,0.0
-0.008719999999999999,0.08
-0.008709999999999999,0.08
-0.0087,0.0
-0.00869,0.08
-0.00868,0.08
-0.00867,0.08
-0.00866,0.08
-0.00865,0.0
-0.008639999999999998,0.0
-0.008629999999999999,0.0
-0.00862,0.08
-0.00861,0.0
-0.0086,0.08
-0.00859,0.08
-0.00858,0.0
-0.00857,0.0
-0.00856,0.0
-0.008549999999999999,0.08
-0.008539999999999999,0.0
-0.00853,0.08
-0.00852,0.0
-0.00851,0.0
-0.0085,0.0
-0.00849,0.08
-0.00848,0.08
-0.008469999999999998,0.0
-0.008459999999999999,0.08
-0.00845,0.0
-0.00844,0.08
-0.00843,0.0
-0.00842,0.08
-0.00841,0.08
-0.0084,0.08
-0.00839,0.0
-0.008379999999999999,0.0
-0.008369999999999999,0.0
-0.00836,0.08
-0.00835,0.08
-0.00834,0.0
-0.00833,0.0
-0.00832,0.0
-0.00831,0.08
-0.008299999999999998,0.08
-0.008289999999999999,0.08
-0.00828,0.08
-0.00827,0.08
-0.00826,0.08
-0.00825,0.0
-0.00824,0.0
-0.00823,0.0
-0.00822,0.0
-0.008209999999999999,3.36
-0.008199999999999999,3.36
-0.00819,3.36
-0.00818,3.36
-0.00817,3.36
-0.00816,3.36
-0.00815,3.44
-0.00814,3.44
-0.008129999999999998,3.36
-0.008119999999999999,3.44
-0.00811,3.44
-0.0081,3.44
-0.00809,3.36
-0.00808,3.36
-0.00807,3.36
-0.00806,3.36
-0.00805,3.36
-0.008039999999999999,3.36
-0.008029999999999999,3.44
-0.00802,3.36
-0.00801,3.36
-0.008,3.36
-0.00799,3.36
-0.00798,3.36
-0.00797,3.36
-0.007959999999999998,3.36
-0.007949999999999999,3.36
-0.00794,3.36
-0.00793,3.36
-0.00792,3.44
-0.00791,3.36
-0.0079,3.36
-0.00789,3.36
-0.00788,3.36
-0.007869999999999999,3.44
-0.007859999999999999,3.36
-0.00785,3.36
-0.00784,3.36
-0.00783,3.36
-0.00782,3.36
-0.007809999999999999,3.36
-0.0078,3.36
-0.007789999999999999,3.36
-0.00778,3.44
-0.00777,3.36
-0.0077599999999999995,3.36
-0.00775,3.36
-0.0077399999999999995,3.36
-0.00773,3.36
-0.007719999999999999,3.36
-0.00771,3.36
-0.007699999999999999,3.36
-0.00769,3.36
-0.007679999999999999,3.44
-0.00767,3.44
-0.007659999999999999,3.44
-0.00765,3.36
-0.007639999999999999,3.36
-0.00763,3.36
-0.007619999999999999,3.36
-0.00761,3.36
-0.0076,3.44
-0.0075899999999999995,3.36
-0.00758,3.44
-0.0075699999999999995,3.36
-0.00756,3.36
-0.007549999999999999,3.44
-0.00754,3.36
-0.007529999999999999,3.36
-0.00752,3.36
-0.007509999999999999,3.44
-0.0075,3.36
-0.007489999999999999,3.44
-0.00748,3.36
-0.007469999999999999,3.36
-0.00746,3.44
-0.007449999999999999,3.36
-0.0074399999999999996,3.36
-0.00743,3.36
-0.0074199999999999995,3.36
-0.00741,3.36
-0.0073999999999999995,3.36
-0.00739,3.44
-0.007379999999999999,3.36
-0.00737,3.36
-0.007359999999999999,3.36
-0.00735,3.36
-0.007339999999999999,3.36
-0.00733,3.44
-0.007319999999999999,3.36
-0.00731,3.44
-0.007299999999999999,3.44
-0.00729,3.36
-0.007279999999999999,3.44
-0.0072699999999999996,3.44
-0.00726,3.44
-0.0072499999999999995,3.36
-0.00724,3.36
-0.0072299999999999994,3.36
-0.00722,3.36
-0.007209999999999999,3.44
-0.0072,3.36
-0.007189999999999999,3.36
-0.00718,3.36
-0.007169999999999999,3.44
-0.00716,3.36
-0.007149999999999999,3.44
-0.00714,3.36
-0.007129999999999999,3.36
-0.00712,3.36
-0.007109999999999999,3.36
-0.0070999999999999995,3.36
-0.00709,3.44
-0.0070799999999999995,3.44
-0.00707,3.36
-0.0070599999999999994,3.44
-0.00705,3.36
-0.007039999999999999,3.44
-0.00703,0.08
-0.007019999999999999,0.08
-0.00701,0.08
-0.006999999999999999,0.0
-0.00699,0.08
-0.006979999999999999,0.0
-0.00697,0.0
-0.006959999999999999,0.0
-0.00695,0.0
-0.006939999999999999,0.0
-0.0069299999999999995,0.0
-0.00692,0.08
-0.0069099999999999995,0.08
-0.0069,0.0
-0.006889999999999999,0.0
-0.00688,0.08
-0.006869999999999999,0.08
-0.00686,0.0
-0.006849999999999999,0.08
-0.00684,0.0
-0.006829999999999999,0.08
-0.00682,0.0
-0.006809999999999999,0.0
-0.0068,0.0
-0.006789999999999999,0.08
-0.00678,0.08
-0.006769999999999999,0.0
-0.0067599999999999995,0.08
-0.00675,0.08
-0.0067399999999999995,0.0
-0.00673,0.0
-0.006719999999999999,0.0
-0.00671,0.08
-0.006699999999999999,0.08
-0.00669,0.0
-0.006679999999999999,0.0
-0.00667,0.08
-0.006659999999999999,0.0
-0.00665,0.08
-0.006639999999999999,0.0
-0.00663,0.0
-0.006619999999999999,0.08
-0.0066099999999999996,0.0
-0.006599999999999999,0.0
-0.0065899999999999995,0.08
-0.00658,0.0
-0.0065699999999999995,0.0
-0.00656,0.0
-0.006549999999999999,0.08
-0.00654,0.08
-0.006529999999999999,0.08
-0.00652,0.0
-0.006509999999999999,0.08
-0.0065,0.0
-0.006489999999999999,0.08
-0.00648,0.08
-0.006469999999999999,0.0
-0.00646,0.0
-0.006449999999999999,0.08
-0.0064399999999999995,0.08
-0.006429999999999999,0.0
-0.0064199999999999995,0.08
-0.00641,0.08
-0.0063999999999999994,0.0
-0.00639,0.0
-0.006379999999999999,0.0
-0.00637,0.08
-0.006359999999999999,0.0
