Time (s),Voltage (V)
-0.025,0.08
-0.024980000000000002,0.0
-0.024960000000000003,0.0
-0.02494,0.0
-0.02492,0.0
-0.024900000000000002,0.0
-0.024880000000000003,0.08
-0.02486,0.0
-0.02484,0.0
-0.024820000000000002,0.0
-0.024800000000000003,0.08
-0.02478,0.0
-0.02476,0.08
-0.02474,0.0
-0.024720000000000002,0.0
-0.0247,0.0
-0.02468,0.0
-0.02466,0.0
-0.024640000000000002,0.0
-0.024620000000000003,0.0
-0.0246,0.0
-0.02458,0.08
-0.024560000000000002,0.0
-0.024540000000000003,0.08
-0.02452,0.08
-0.0245,0.08
-0.024480000000000002,0.0
-0.024460000000000003,0.08
-0.02444,0.0
-0.02442,0.0
-0.0244,0.0
-0.024380000000000002,0.0
-0.02436,0.0
-0.02434,0.0
-0.02432,0.0
-0.024300000000000002,0.0
-0.024280000000000003,0.08
-0.02426,0.0
-0.02424,0.08
-0.024220000000000002,0.0
-0.024200000000000003,0.0
-0.02418,0.08
-0.02416,0.0
-0.02414,0.0
-0.024120000000000003,0.08
-0.0241,0.08
-0.02408,0.0
-0.02406,0.08
-0.024040000000000002,0.0
-0.02402,0.0
-0.024,0.0
-0.02398,0.0
-0.023960000000000002,0.0
-0.023940000000000003,0.0
-0.02392,0.0
-0.0239,0.08
-0.023880000000000002,0.0
-0.023860000000000003,0.0
-0.02384,0.0
-0.02382,0.08
-0.0238,0.08
-0.023780000000000003,0.0
-0.02376,0.0
-0.02374,0.0
-0.02372,0.0
-0.023700000000000002,0.0
-0.02368,0.0
-0.02366,0.0
-0.02364,0.0
-0.023620000000000002,0.0
-0.023600000000000003,0.0
-0.02358,0.0
-0.02356,0.08
-0.023540000000000002,0.0
-0.023520000000000003,0.0
-0.0235,0.0
-0.02348,0.08
-0.02346,0.0
-0.023440000000000003,0.0
-0.02342,0.08
-0.0234,0.0
-0.02338,0.0
-0.023360000000000002,0.08
-0.02334,0.0
-0.02332,0.0
-0.0233,0.0
-0.023280000000000002,0.08
-0.023260000000000003,0.0
-0.02324,0.0
-0.02322,0.08
-0.023200000000000002,0.0
-0.023180000000000003,0.0
-0.02316,0.0
-0.02314,0.0
-0.02312,0.0
-0.023100000000000002,0.0
-0.02308,0.0
-0.02306,0.0
-0.02304,0.0
-0.023020000000000002,0.0
-0.023,0.0
-0.02298,0.0
-0.02296,0.0
-0.022940000000000002,0.0
-0.022920000000000003,0.0
-0.0229,0.0
-0.02288,0.0
-0.022860000000000002,0.08
-0.022840000000000003,0.08
-0.02282,0.0
-0.0228,0.0
-0.02278,5.12
-0.022760000000000002,5.2
-0.02274,5.12
-0.02272,5.12
-0.0227,5.12
-0.022680000000000002,5.12
-0.02266,5.12
-0.02264,5.12
