Time (s),Voltage (V)
-0.25,0.0
-0.2498,0.0
-0.2496,0.0
-0.2494,0.0
-0.2492,0.0
-0.249,-0.08
-0.2488,0.08
-0.2486,0.0
-0.2484,0.0
-0.2482,0.0
-0.248,0.0
-0.2478,0.0
-0.2476,0.0
-0.2474,0.0
-0.2472,0.0
-0.247,0.0
-0.2468,0.0
-0.24659999999999999,0.0
-0.2464,0.0
-0.2462,0.0
-0.246,-0.08
-0.2458,0.0
-0.2456,0.0
-0.2454,-0.08
-0.2452,-0.08
-0.245,0.08
-0.2448,0.0
-0.2446,0.0
-0.2444,0.0
-0.2442,0.0
-0.244,0.0
-0.2438,0.0
-0.2436,-0.08
-0.2434,0.0
-0.2432,-0.08
-0.243,0.0
-0.2428,0.0
-0.2426,-0.08
-0.2424,0.0
-0.2422,-0.08
-0.242,0.0
-0.2418,0.0
-0.2416,-0.08
-0.2414,-0.08
-0.2412,0.0
-0.241,0.0
-0.24080000000000001,-0.08
-0.2406,-0.08
-0.2404,0.0
-0.2402,0.0
-0.24,0.0
-0.2398,0.0
-0.2396,0.0
-0.2394,0.0
-0.2392,0.0
-0.239,0.0
-0.2388,-0.08
-0.2386,0.0
-0.2384,0.0
-0.2382,0.0
-0.238,0.0
-0.2378,0.0
-0.2376,-0.08
-0.2374,0.0
-0.2372,-0.08
-0.237,0.0
-0.2368,-0.08
-0.2366,0.0
-0.2364,0.0
-0.2362,0.0
-0.236,0.0
-0.2358,-0.08
-0.2356,0.0
-0.2354,0.0
-0.2352,0.0
-0.235,0.0
-0.2348,-0.08
-0.2346,0.0
-0.2344,0.0
-0.2342,-0.08
-0.23399999999999999,0.0
-0.2338,-0.08
-0.2336,0.0
-0.2334,0.0
-0.2332,0.0
-0.23299999999999998,0.0
-0.2328,0.0
-0.2326,-0.08
-0.2324,0.0
-0.2322,0.0
-0.23199999999999998,0.0
-0.2318,-0.08
-0.2316,0.0
-0.2314,0.0
-0.2312,0.0
-0.231,0.0
-0.2308,0.0
-0.2306,-0.08
-0.2304,0.0
-0.2302,-0.08
-0.23,0.0
-0.2298,0.0
-0.2296,0.0
-0.2294,0.0
-0.2292,0.0
-0.229,0.0
-0.2288,0.0
-0.2286,0.0
-0.2284,0.0
-0.22820000000000001,0.0
-0.228,0.0
-0.2278,0.0
-0.2276,0.0
-0.2274,0.0
-0.2272,0.0
-0.227,0.0
-0.2268,0.0
-0.2266,0.0
-0.2264,-0.08
-0.2262,0.0
-0.226,0.0
-0.2258,0.0
-0.2256,0.0
-0.2254,0.0
-0.2252,0.0
-0.225,0.0
-0.2248,0.0
-0.2246,0.0
-0.2244,0.0
-0.2242,0.0
-0.224,0.0
-0.2238,-0.08
-0.2236,0.0
-0.2234,0.0
-0.2232,0.0
-0.223,-0.08
-0.2228,0.0
-0.2226,-0.08
-0.2224,0.0
-0.2222,-0.08
-0.222,0.0
-0.2218,-0.08
-0.2216,0.0
-0.22139999999999999,0.0
-0.2212,0.0
-0.221,0.0
-0.2208,0.0
-0.2206,0.0
-0.22039999999999998,0.0
-0.2202,0.0
-0.22,0.0
-0.2198,0.0
-0.2196,0.0
-0.21939999999999998,0.0
-0.2192,0.0
-0.219,0.0
-0.2188,0.08
-0.2186,0.0
-0.21839999999999998,0.0
-0.2182,-0.08
-0.218,0.0
-0.2178,0.0
-0.21760000000000002,0.0
-0.21739999999999998,0.0
-0.2172,0.0
-0.217,0.0
-0.2168,0.0
-0.21660000000000001,0.0
-0.21639999999999998,0.0
-0.2162,0.0
-0.216,0.0
-0.2158,0.0
-0.2156,0.0
-0.2154,0.0
-0.2152,0.0
-0.215,0.0
-0.2148,-0.08
-0.2146,0.0
-0.2144,0.0
-0.2142,0.0
-0.214,-0.08
-0.2138,0.0
-0.2136,0.0
-0.2134,-0.08
-0.2132,0.0
-0.213,0.0
-0.2128,0.0
-0.2126,0.0
