Time (s),Voltage (V)
3.086e-05,8.56
3.0864e-05,8.56
3.0867999999999997e-05,8.56
3.0872e-05,8.56
3.0876e-05,8.56
3.088e-05,8.56
3.0884e-05,8.64
3.0888e-05,8.56
3.0892e-05,8.48
3.0896e-05,8.56
3.09e-05,8.56
3.0904e-05,8.56
3.0907999999999996e-05,8.64
3.0912e-05,8.64
3.0916e-05,8.56
3.092e-05,8.48
3.0924e-05,8.56
3.0928e-05,8.56
3.0932e-05,8.56
3.0935999999999997e-05,8.64
3.094e-05,8.64
3.0944e-05,8.56
3.0948e-05,8.64
3.0952e-05,8.56
3.0956e-05,8.56
3.096e-05,8.48
3.0964e-05,8.56
3.0968e-05,8.56
3.0972e-05,8.56
3.0975999999999996e-05,8.48
3.098e-05,8.56
3.0984e-05,8.64
3.0988e-05,8.56
3.0992e-05,8.64
3.0996e-05,8.56
3.1e-05,8.56
3.1003999999999997e-05,8.56
3.1008e-05,8.56
3.1012e-05,8.72
3.1016e-05,8.56
3.102e-05,8.56
3.1024e-05,8.56
3.1028e-05,8.64
3.1032e-05,8.48
3.1036e-05,8.48
3.104e-05,8.56
3.1043999999999996e-05,8.56
3.1048e-05,8.56
3.1052e-05,8.56
3.1056e-05,8.64
3.106e-05,8.56
3.1064e-05,8.56
3.1068e-05,8.48
3.1071999999999997e-05,8.64
3.1076e-05,8.64
3.108e-05,8.56
3.1084e-05,8.56
3.1088e-05,8.48
3.1092e-05,8.56
3.1096e-05,8.56
3.11e-05,8.56
3.1104e-05,8.64
3.1108e-05,8.56
3.1111999999999996e-05,8.48
3.1116e-05,8.56
3.112e-05,8.48
3.1124e-05,8.56
3.1128e-05,8.64
3.1132e-05,8.56
3.1136e-05,8.56
3.114e-05,8.56
3.1144e-05,8.56
3.1148e-05,8.56
3.1152e-05,8.56
3.1156e-05,8.56
3.116e-05,8.56
3.1164e-05,8.64
3.1168e-05,8.56
3.1172e-05,8.56
3.1176e-05,8.56
3.1179999999999996e-05,8.64
3.1184e-05,8.56
3.1188e-05,8.48
3.1192e-05,8.64
3.1196e-05,8.56
3.12e-05,8.56
3.1204e-05,8.56
3.1208e-05,8.56
3.1212e-05,8.56
3.1216e-05,8.64
3.122e-05,8.48
3.1224e-05,8.56
3.1228e-05,8.56
3.1232e-05,8.48
3.1236e-05,8.56
3.124e-05,8.56
3.1244e-05,8.48
3.1247999999999996e-05,8.56
3.1252e-05,8.64
3.1256e-05,8.56
3.126e-05,8.48
3.1264e-05,8.56
3.1268e-05,8.64
3.1272e-05,8.48
3.1276e-05,8.56
3.128e-05,8.64
3.1284e-05,8.64
3.1288e-05,8.56
3.1292e-05,8.56
3.1296e-05,8.64
3.13e-05,8.56
3.1304e-05,8.56
3.1308e-05,8.48
3.1312e-05,8.56
3.1315999999999996e-05,8.64
3.132e-05,8.48
3.1324e-05,8.56
3.1328e-05,8.56
3.1332e-05,8.56
3.1336e-05,8.56
3.134e-05,8.64
3.1344e-05,8.56
3.1348e-05,8.56
3.1352e-05,8.64
3.1356e-05,8.64
3.136e-05,8.56
3.1364e-05,8.56
3.1368e-05,8.64
3.1372e-05,8.72
3.1376e-05,8.56
3.138e-05,8.48
3.1383999999999996e-05,8.56
3.1388e-05,8.48
3.1392e-05,8.56
3.1396e-05,8.64
3.14e-05,8.56
3.1404e-05,8.64
3.1408e-05,8.56
3.1412e-05,8.64
3.1416e-05,8.56
3.142e-05,8.56
3.1424e-05,8.64
3.1428e-05,8.48
3.1432e-05,8.56
3.1436e-05,8.56
3.144e-05,8.56
3.1444e-05,8.56
3.1448e-05,8.56
3.1451999999999996e-05,8.64
3.1456e-05,8.64
3.146e-05,8.56
3.1464e-05,8.56
3.1468e-05,8.64
3.1472e-05,8.56
3.1476e-05,8.56
3.148e-05,8.56
3.1484e-05,8.64
3.1488e-05,8.56
3.1492e-05,8.64
3.1496e-05,8.56
3.15e-05,8.48
3.1504e-05,8.56
3.1508e-05,8.64
3.1512e-05,8.64
3.1516e-05,8.56
3.1519999999999996e-05,8.48
3.1524e-05,8.64
3.1528e-05,8.64
3.1532e-05,8.56
3.1536e-05,8.56
3.154e-05,8.56
3.1544e-05,8.56
3.1548e-05,8.56
3.1552e-05,8.64
3.1556e-05,8.56
3.156e-05,8.64
3.1564e-05,8.56
3.1568e-05,8.56
3.1572e-05,8.56
3.1576e-05,8.56
3.158e-05,8.56
3.1584e-05,8.56
3.1587999999999996e-05,8.56
3.1592e-05,8.48
